# Catalyst ghost replay — t,x,y,thetaDeg
0.019349,9.4964,5.4964,-0.275
0.038645,9.4892,5.4925,-0.825
0.059622,9.4784,5.4888,-1.650
0.079687,9.4640,5.4852,-2.750
0.097764,9.4460,5.4817,-4.125
0.117965,9.4244,5.4784,-5.775
0.138025,9.3992,5.4751,-7.701
0.159576,9.3704,5.4718,-9.901
0.177630,9.3380,5.4687,-12.376
0.200260,9.3020,5.4656,-15.126
0.218851,9.2624,5.4626,-18.151
0.237973,9.2192,5.4596,-21.452
0.259098,9.1724,5.4567,-24.889
0.279688,9.1220,5.4538,-28.327
0.298733,9.0680,5.4509,-31.765
0.319309,9.0104,5.4481,-35.203
0.339672,8.9505,5.4452,-38.640
0.359455,8.8905,5.4424,-42.078
0.378693,8.8306,5.4395,-45.516
0.397236,8.7707,5.4367,-48.954
0.417800,8.7107,5.4338,-52.391
0.440466,8.6539,5.4311,-55.829
0.458122,8.6006,5.4286,-59.267
0.479010,8.5510,5.4263,-62.705
0.497675,8.5049,5.4242,-66.142
0.516165,8.4624,5.4223,-69.580
0.541195,8.4236,5.4205,-73.018
0.558819,8.3883,5.4189,-76.455
0.580051,8.3567,5.4174,-79.893
0.599176,8.3281,5.4160,-83.331
0.618783,8.3019,5.4147,-86.769
0.638555,8.2777,5.4135,-90.206
0.657170,8.2555,5.4124,-93.644
0.679554,8.2351,5.4114,-97.082
0.698654,8.2163,5.4105,-100.520
0.718243,8.1990,5.4097,-103.957
0.737659,8.1830,5.4089,-107.395
0.759295,8.1684,5.4082,-110.833
0.778205,8.1574,5.4082,-113.996
0.796961,8.1499,5.4082,-116.883
0.820000,8.1461,5.4082,-119.496
0.839105,8.1458,5.4082,-121.834
0.856598,8.1458,5.4082,-123.896
0.878150,8.1458,5.4082,-125.684
0.900620,8.1458,5.4082,-127.197
0.916738,8.1458,5.4082,-128.434
0.937813,8.1458,5.4082,-129.397
0.958956,8.1458,5.4082,-130.084
0.979855,8.1458,5.4082,-130.497
0.999061,8.1458,5.4082,-130.634
1.017534,8.1458,5.4082,-130.634
1.038369,8.1458,5.4082,-130.634
1.057348,8.1458,5.4082,-130.634
1.078652,8.1458,5.4082,-130.634
1.100013,8.1458,5.4082,-130.634
1.119317,8.1458,5.4082,-130.634
1.139911,8.1458,5.4082,-130.634
1.157439,8.1458,5.4082,-130.634
1.180315,8.1458,5.4082,-130.634
1.197031,8.1458,5.4082,-130.634
1.219632,8.1458,5.4082,-130.634
1.238680,8.1458,5.4082,-130.634
1.258200,8.1458,5.4082,-130.634
1.277636,8.1458,5.4082,-130.634
1.300271,8.1458,5.4082,-130.634
1.318797,8.1458,5.4082,-130.634
1.339028,8.1458,5.4082,-130.634
1.359317,8.1458,5.4082,-130.634
1.376933,8.1458,5.4082,-130.634
1.397198,8.1458,5.4082,-130.634
1.417720,8.1458,5.4082,-130.634
1.440158,8.1458,5.4082,-130.634
1.456894,8.1458,5.4082,-130.634
1.479772,8.1458,5.4082,-130.634
1.500862,8.1458,5.4082,-130.634
1.516016,8.1458,5.4082,-130.634
1.539783,8.1458,5.4082,-130.634
1.558377,8.1458,5.4082,-130.634
1.579974,8.1458,5.4082,-130.634
1.597714,8.1458,5.4082,-130.634
1.619311,8.1458,5.4082,-130.634
1.640008,8.1458,5.4082,-130.634
1.657806,8.1458,5.4082,-130.634
1.679739,8.1458,5.4082,-130.634
1.699753,8.1458,5.4082,-130.634
1.717462,8.1458,5.4082,-130.634
1.740691,8.1458,5.4082,-130.634
1.758036,8.1458,5.4082,-130.634
1.776119,8.1458,5.4082,-130.634
1.797832,8.1458,5.4082,-130.634
1.819701,8.1458,5.4082,-130.634
1.840494,8.1458,5.4082,-130.634
1.858595,8.1458,5.4082,-130.634
1.878681,8.1458,5.4082,-130.634
1.896691,8.1458,5.4082,-130.634
1.917049,8.1494,5.4118,-130.359
1.937633,8.1566,5.4174,-129.809
1.960284,8.1674,5.4230,-128.984
1.978938,8.1818,5.4284,-127.884
1.997881,8.1998,5.4338,-126.509
2.018272,8.2214,5.4391,-124.859
2.040186,8.2466,5.4444,-122.934
2.059445,8.2754,5.4495,-120.734
2.077754,8.3078,5.4547,-118.258
2.099338,8.3438,5.4597,-115.508
2.117831,8.3834,5.4648,-112.483
2.139088,8.4266,5.4697,-109.183
2.160856,8.4734,5.4747,-105.745
2.179011,8.5238,5.4797,-102.307
2.198411,8.5778,5.4846,-98.870
2.217415,8.6354,5.4895,-95.432
2.236842,8.6952,5.4944,-91.994
2.257271,8.7550,5.4993,-88.556
2.278505,8.8148,5.5042,-85.119
2.299242,8.8746,5.5091,-81.681
2.319394,8.9344,5.5140,-78.243
2.336280,8.9942,5.5189,-74.805
2.357372,9.0540,5.5238,-71.368
2.378739,9.1138,5.5288,-67.930
2.396373,9.1736,5.5337,-64.492
2.419241,9.2334,5.5386,-61.054
2.439739,9.2932,5.5435,-57.617
2.457429,9.3530,5.5484,-54.179
2.480871,9.4128,5.5533,-50.741
2.498110,9.4726,5.5582,-47.303
2.519329,9.5324,5.5631,-43.866
2.540556,9.5922,5.5680,-40.428
2.558033,9.6520,5.5729,-36.990
2.579549,9.7118,5.5778,-33.552
2.600419,9.7716,5.5828,-30.115
2.619129,9.8314,5.5877,-26.677
2.640286,9.8912,5.5926,-23.514
2.658679,9.9510,5.5975,-20.626
2.678034,10.0108,5.6024,-18.014
2.700602,10.0706,5.6073,-15.676
2.718130,10.1304,5.6122,-13.613
2.739687,10.1902,5.6171,-11.783
2.759027,10.2500,5.6220,-10.135
2.777744,10.3098,5.6269,-8.653
2.798504,10.3696,5.6318,-7.318
2.817549,10.4294,5.6367,-6.117
2.840068,10.4892,5.6417,-5.036
2.857451,10.5461,5.6463,-4.063
2.876444,10.5993,5.6506,-3.188
2.900704,10.6490,5.6546,-2.399
2.920106,10.6951,5.6582,-1.688
2.940111,10.7375,5.6615,-1.046
2.959004,10.7764,5.6646,-0.466
2.978116,10.8116,5.6675,0.058
2.999012,10.8433,5.6701,0.532
3.019324,10.8718,5.6725,0.958
3.040227,10.8981,5.6747,1.342
3.056123,10.9222,5.6767,1.688
3.081457,10.9445,5.6785,1.999
3.097758,10.9649,5.6803,2.279
3.118314,10.9837,5.6818,2.531
3.136496,11.0010,5.6833,2.758
3.160859,11.0169,5.6846,2.962
3.179053,11.0316,5.6859,3.146
3.199550,11.0426,5.6859,3.146
3.218567,11.0501,5.6859,3.146
3.239309,11.0539,5.6859,3.146
3.259950,11.0542,5.6859,3.146
3.277793,11.0542,5.6859,3.146
3.299356,11.0542,5.6859,3.146
3.318054,11.0542,5.6859,3.146
3.340457,11.0578,5.6823,2.871
3.359673,11.0650,5.6751,2.320
3.379116,11.0758,5.6647,1.495
3.396655,11.0902,5.6546,0.395
3.417189,11.1082,5.6447,-0.597
3.437577,11.1298,5.6349,-1.475
3.456803,11.1550,5.6253,-2.250
3.478769,11.1838,5.6158,-2.934
3.499086,11.2162,5.6065,-3.538
3.520165,11.2522,5.5972,-4.071
3.538770,11.2918,5.5880,-4.542
3.559291,11.3350,5.5790,-4.958
3.576949,11.3818,5.5700,-5.327
3.599121,11.4322,5.5610,-5.653
3.616893,11.4862,5.5521,-5.943
3.638491,11.5438,5.5432,-6.202
3.660340,11.6031,5.5343,-6.434
3.678084,11.6624,5.5254,-6.643
3.700107,11.7218,5.5165,-6.831
3.719179,11.7811,5.5076,-7.000
3.739846,11.8405,5.4987,-7.152
3.756202,11.8998,5.4898,-7.289
3.780279,11.9591,5.4809,-7.413
3.798079,12.0185,5.4720,-7.524
3.819108,12.0778,5.4631,-7.624
3.839514,12.1371,5.4542,-7.714
3.860278,12.1965,5.4454,-7.795
3.879557,12.2558,5.4365,-7.868
3.896201,12.3151,5.4276,-7.933
3.919143,12.3745,5.4187,-7.992
3.939319,12.4338,5.4098,-8.045
3.956574,12.4932,5.4009,-8.093
3.978167,12.5525,5.3920,-8.136
3.997209,12.6118,5.3831,-8.175
4.019792,12.6712,5.3742,-8.210
4.039598,12.7305,5.3653,-8.241
4.057478,12.7898,5.3564,-8.269
4.077823,12.8467,5.3479,-8.295
4.100781,12.8999,5.3401,-8.317
4.119491,12.9495,5.3329,-8.339
4.137075,12.9955,5.3262,-8.362
4.160751,13.0379,5.3201,-8.385
4.178265,13.0767,5.3145,-8.409
4.199102,13.1119,5.3094,-8.435
4.219062,13.1435,5.3046,-8.462
4.240420,13.1721,5.3003,-8.487
4.258494,13.1983,5.2962,-8.509
4.278416,13.2224,5.2925,-8.529
4.300712,13.2446,5.2891,-8.548
4.319470,13.2651,5.2860,-8.564
4.339040,13.2839,5.2831,-8.579
4.359960,13.3012,5.2805,-8.592
4.378663,13.3171,5.2780,-8.604
4.398473,13.3317,5.2758,-8.615
4.419367,13.3427,5.2758,-8.615
4.436736,13.3502,5.2758,-8.615
4.456726,13.3540,5.2758,-8.615
4.477823,13.3542,5.2758,-8.615
4.497552,13.3542,5.2758,-8.615
4.520281,13.3542,5.2758,-8.615
4.540186,13.3542,5.2758,-8.615
4.560200,13.3542,5.2758,-8.615
4.580347,13.3542,5.2758,-8.615
4.599333,13.3542,5.2758,-8.615
4.617796,13.3542,5.2758,-8.615
4.640028,13.3542,5.2758,-8.615
4.659855,13.3542,5.2758,-8.615
4.676840,13.3542,5.2758,-8.615
4.701121,13.3542,5.2758,-8.615
4.719273,13.3542,5.2758,-8.615
4.738105,13.3542,5.2758,-8.615
4.760023,13.3542,5.2758,-8.615
4.777265,13.3542,5.2758,-8.615
4.800740,13.3542,5.2758,-8.615
4.819055,13.3542,5.2758,-8.615
4.837567,13.3542,5.2758,-8.615
4.860440,13.3542,5.2758,-8.615
4.877575,13.3542,5.2758,-8.615
4.899253,13.3542,5.2758,-8.615
4.919027,13.3542,5.2758,-8.615
4.939933,13.3542,5.2758,-8.615
4.957099,13.3542,5.2758,-8.615
4.977240,13.3542,5.2758,-8.615
5.000838,13.3542,5.2758,-8.615
5.019748,13.3542,5.2758,-8.615
5.040058,13.3542,5.2758,-8.615
5.057880,13.3542,5.2758,-8.615
5.076387,13.3542,5.2758,-8.615
